Where in the World,Answer,Wrong Answers,,
American body of water that is the 4th largest salt lake in the world,Great Salt Lake,Lake Michigan,Lake Superior,Dead Sea
Tallest peak in North America,Denali (formerly Mt. McKinley),Mt. Fuji,Mt. St. Helens,Mt. Everest
This European structure was completed in 80 AD,Colloseum,Temple of Jupiter,Circus Maximus,Stadium of Domitian
Famous frontiersman Davy Crockett defended this fort in 1836,The Alamo,Fort Ticonderoga,Fort Sumter,Fort Worth
Water falls over 3;000 feet of this cliff; making it the tallest waterfall in the world,Angel's Falls,Niagara Falls,Victoria Falls,Cumberland Falls
No wheels were used in the construction of this ancient city,Machu Picchu,Rome,Tikal,Palenque
This famous structure has a roof consisting of over 1;000;000 tiles,Sydney Opera House,Colloseum,Sydney's Australia Dome,Sydney Tower
This palace was built for the favorite wife of an Emperor,Taj Mahal,Charminar,Hawa Mahal,Gateway of India
This structure held the title of longest suspension bridge in the world from 1883 to 1903,Brooklyn Bridge,Goldengate Bridge,Manhattan Bridge,Empire Bridge
The bell in this famous tower weighs around 13.5 tons,Big Ben,London Tower,Monarch's Tower,Large Larry
The mascot of the university that shares a name with this french cathedral is ironically the Fighting Irish,Notre Dame Cathedral,Florence Cathedral,Seville Cathedral,Milan Cathedral
The base of this Russian landmark was originally 9 different churches,St. Basil's Cathedral,Cathedral of Christ the Savior,Cathedral of Ivan the Great,National Church of Russia
There are 25 windows in the crown of this giant statue alone,Statue of Liberty,Venus de Milo,Christ the Redeemer,The Motherland Calls
Galileo was baptized in this ancient building,Leaning Tower of Pisa,St. Peter's Bascilica,Pantheon,Florence Baptistery
This iconic landmark was not intended to stand permanently when it was originally built in 1889,Eiffel Tower,The Louvre,Arc de Triomphe,Notre Dame de Paris
This skyscraper was built to be 1776 feet tall; a referene to the year the United States declared independence,One World Trade Center,Empire State Building,Willis Tower,Chrysler Building
More than 150 million people have visited this tower since its completion in 1958,Tokyo Tower,Tokyo Skytree,Taipei 101,Kyoto Tower
This riverside attraction is the tallest observation wheel in Europe,London Eye,Tate Modern,Big Ben,Albert Dock
It is still unknown how the huge stones that make up this landmark were moved to the building location,Stonehenge,Easter Island,The Great Pyramids,Machu Pichu
This island; located off the coast of Chile; is home to some 900 giant rock heads/figures ,Easter Island,Stonehenge,Galapagos Islands,Hawaii Islands
There are 9;999 rooms in this famous chinese city,The Forbidden City,The Imperial City,Beijing,Hong Kong
